type,value,duration,time,offset
Time 0,,0,0.002,0
New Segment,,0,0.002,0
Stimulus,30,1,353.358,0
Stimulus,40,1,367.732,0
Stimulus,90,1,377.4,0
Stimulus,20,1,386.508,0
Stimulus,50,1,398.928,0
Stimulus,160,1,416.176,0
Stimulus,20,1,424.258,0
Stimulus,160,1,431.23,0
Stimulus,20,1,438.062,0
Stimulus,160,1,440.798,0
Stimulus,20,1,449.328,0
Stimulus,150,1,452.674,0
Stimulus,100,1,465.744,0
Stimulus,50,1,473.326,0
Stimulus,150,1,491.27,0
Stimulus,10,1,491.272,0
Stimulus,30,1,500.448,0
Stimulus,40,1,511.214,0
Stimulus,50,1,520.798,0
Stimulus,150,1,529.13,0
Stimulus,100,1,538.644,0
Stimulus,50,1,543.672,0
Stimulus,110,1,560.672,0
Stimulus,20,1,568.352,0
Stimulus,120,1,571.88,0
Stimulus,20,1,581.38,0
Stimulus,110,1,588.894,0
Stimulus,20,1,593.254,0
Stimulus,150,1,601.906,0
Stimulus,10,1,601.908,0
Stimulus,30,1,607.92,0
Stimulus,40,1,613.906,0
Stimulus,50,1,618.904,0
Stimulus,150,1,626.322,0
Stimulus,100,1,634.99,0
Stimulus,160,1,675.988,0
Stimulus,20,1,680.212,0
Stimulus,60,1,687.212,0
Stimulus,20,1,689.154,0
Stimulus,60,1,693.516,0
Stimulus,20,1,695.28,0
Stimulus,50,1,699.752,0
Stimulus,160,1,711.39,0
Stimulus,20,1,715.474,0
Stimulus,150,1,720.056,0
Stimulus,10,1,720.058,0
Stimulus,30,1,723.54,0
Stimulus,40,1,727.196,0
Stimulus,50,1,731.75,0
Stimulus,150,1,737.196,0
Stimulus,110,1,745.71,0
Stimulus,20,1,752.376,0
Stimulus,100,1,755.542,0
Stimulus,60,1,764.708,0
Stimulus,20,1,767.54,0
Stimulus,50,1,770.152,0
Stimulus,160,1,772.36,0
Stimulus,20,1,774.68,0
Stimulus,150,1,781.514,0
Stimulus,10,1,781.516,0
Stimulus,30,1,784.886,0
Stimulus,40,1,786.084,0
Stimulus,50,1,789.444,0
Stimulus,150,1,795.556,0
Stimulus,100,1,806.514,0
Stimulus,50,1,813.638,0
Stimulus,150,1,820.262,0
Stimulus,10,1,820.264,0
Stimulus,30,1,823.804,0
Stimulus,40,1,827.402,0
Stimulus,50,1,830.776,0
Stimulus,150,1,835.346,0
Stimulus,110,1,843.902,0
Stimulus,20,1,846.762,0
Stimulus,100,1,848.858,0
Stimulus,50,1,853.54,0
Stimulus,150,1,859.29,0
Stimulus,10,1,859.29,0
Stimulus,30,1,952.758,0
Stimulus,40,1,972.8,0
Stimulus,120,1,996.55,0
Stimulus,160,1,1003.356,0
Stimulus,0,1,1027.59,0
Stimulus,60,1,1029.966,0
Stimulus,70,1,1036.104,0
Stimulus,10,1,1036.106,0
Stimulus,200,1,1059.006,0
Stimulus,210,1,1074.128,0
Stimulus,33,1,1089.614,0
Stimulus,43,1,1112.186,0
Stimulus,103,1,1126.73,0
Stimulus,53,1,1132.658,0
Stimulus,153,1,1144.13,0
Stimulus,163,1,1153.062,0
Stimulus,23,1,1157.962,0
Stimulus,153,1,1160.338,0
Stimulus,53,1,1167.892,0
Stimulus,13,1,1167.894,0
Stimulus,33,1,1171.46,0
Stimulus,43,1,1173.686,0
Stimulus,103,1,1186.13,0
Stimulus,53,1,1191.254,0
Stimulus,153,1,1202.53,0
Stimulus,153,1,1211.408,0
Stimulus,63,1,1219.392,0
Stimulus,23,1,1222.156,0
Stimulus,53,1,1225.058,0
Stimulus,13,1,1225.06,0
Stimulus,33,1,1228.376,0
Stimulus,43,1,1229.974,0
Stimulus,103,1,1237.406,0
Stimulus,53,1,1244.088,0
Stimulus,0,1,1251.178,0
Stimulus,3,1,1251.18,0
Stimulus,153,1,1253.42,0
Stimulus,163,1,1268.918,0
Stimulus,23,1,1271.196,0
Stimulus,153,1,1273.628,0
Stimulus,63,1,1284.988,0
Stimulus,23,1,1287.626,0
Stimulus,53,1,1290.016,0
Stimulus,13,1,1290.016,0
Stimulus,33,1,1293.222,0
Stimulus,43,1,1299.322,0
Stimulus,103,1,1305.112,0
Stimulus,53,1,1312.054,0
Stimulus,153,1,1332.196,0
Stimulus,153,1,1341.39,0
Stimulus,53,1,1346.888,0
Stimulus,13,1,1346.89,0
Stimulus,33,1,1350.178,0
Stimulus,43,1,1350.82,0
Stimulus,103,1,1357.862,0
Stimulus,123,1,1374.542,0
Stimulus,23,1,1375.874,0
Stimulus,53,1,1380.722,0
Stimulus,153,1,1399.416,0
Stimulus,153,1,1410.82,0
Stimulus,53,1,1416.512,0
Stimulus,13,1,1416.514,0
Stimulus,33,1,1419.414,0
Stimulus,43,1,1429.428,0
Stimulus,103,1,1435.944,0
Stimulus,123,1,1441.958,0
Stimulus,23,1,1443.54,0
Stimulus,53,1,1448.86,0
Stimulus,153,1,1459.778,0
Stimulus,163,1,1466.498,0
Stimulus,23,1,1468.4,0
Stimulus,163,1,1470.622,0
Stimulus,23,1,1472.386,0
Stimulus,153,1,1474.984,0
Stimulus,53,1,1481.386,0
Stimulus,13,1,1481.388,0
Stimulus,33,1,1574.508,0
Stimulus,43,1,1578.288,0
Stimulus,3,1,1587.272,0
Stimulus,63,1,1598.506,0
Stimulus,163,1,1620.744,0
Stimulus,163,1,1627.326,0
Stimulus,63,1,1632.452,0
Stimulus,13,1,1632.454,0
Stimulus,200,1,1673.13,0
Stimulus,210,1,1688.256,0
Stimulus,36,1,1692.074,0
Stimulus,46,1,1696.158,0
Stimulus,56,1,1716.52,0
Stimulus,106,1,1732.38,0
Stimulus,56,1,1745.6,0
Stimulus,106,1,1757.408,0
Stimulus,156,1,1770.102,0
Stimulus,16,1,1770.102,0
Stimulus,36,1,1773.918,0
Stimulus,46,1,1776.17,0
Stimulus,56,1,1784.31,0
Stimulus,116,1,1794.614,0
Stimulus,26,1,1796.294,0
Stimulus,106,1,1801.17,0
Stimulus,56,1,1809.92,0
Stimulus,106,1,1819.004,0
Stimulus,166,1,1831.518,0
Stimulus,26,1,1834.684,0
Stimulus,156,1,1847.044,0
Stimulus,16,1,1847.044,0
Stimulus,36,1,1849.57,0
Stimulus,46,1,1849.974,0
Stimulus,66,1,1854.71,0
Stimulus,26,1,1859.266,0
Stimulus,56,1,1861.322,0
Stimulus,106,1,1873.654,0
Stimulus,56,1,1883.404,0
Stimulus,106,1,1891.654,0
Stimulus,156,1,1899.376,0
Stimulus,16,1,1899.378,0
Stimulus,36,1,1901.93,0
Stimulus,46,1,1902.778,0
Stimulus,56,1,1907.14,0
Stimulus,106,1,1918.876,0
Stimulus,56,1,1931.514,0
Stimulus,106,1,1937.348,0
Stimulus,156,1,1946.14,0
Stimulus,16,1,1946.14,0
Stimulus,36,1,1948.568,0
Stimulus,46,1,1948.944,0
Stimulus,56,1,1953.512,0
Stimulus,106,1,1963.166,0
Stimulus,56,1,1966.888,0
Stimulus,106,1,1972.374,0
Stimulus,156,1,1977.972,0
Stimulus,16,1,1977.972,0
Stimulus,36,1,1980.358,0
Stimulus,46,1,1980.818,0
Stimulus,56,1,1984.72,0
Stimulus,106,1,1990.026,0
Stimulus,56,1,1993.442,0
Stimulus,106,1,1999.554,0
Stimulus,156,1,2006.402,0
Stimulus,16,1,2006.402,0
Stimulus,36,1,2100.244,0
Stimulus,46,1,2104.108,0
Stimulus,6,1,2110.286,0
Stimulus,6,1,2115.342,0
Stimulus,6,1,2120.62,0
Stimulus,6,1,2124.05,0
Stimulus,6,1,2129.246,0
Stimulus,16,1,2129.248,0
Stimulus,200,1,2155.452,0
Stimulus,210,1,2170.618,0
Stimulus,32,1,2173.742,0
Stimulus,42,1,2178.576,0
Stimulus,102,1,2186.884,0
Stimulus,52,1,2190.466,0
Stimulus,102,1,2194.23,0
Stimulus,52,1,2197.578,0
Stimulus,152,1,2201.66,0
Stimulus,12,1,2201.662,0
Stimulus,32,1,2204.754,0
Stimulus,42,1,2205.228,0
Stimulus,102,1,2209.606,0
Stimulus,52,1,2213.354,0
Stimulus,102,1,2216.992,0
Stimulus,52,1,2219.772,0
Stimulus,112,1,2227.006,0
Stimulus,22,1,2229.09,0
Stimulus,152,1,2233.744,0
Stimulus,12,1,2233.744,0
Stimulus,32,1,2236.922,0
Stimulus,42,1,2237.728,0
Stimulus,112,1,2241.34,0
Stimulus,22,1,2243.408,0
Stimulus,102,1,2244.896,0
Stimulus,52,1,2248.312,0
Stimulus,102,1,2254.02,0
Stimulus,122,1,2259.284,0
Stimulus,22,1,2261.964,0
Stimulus,52,1,2264.894,0
Stimulus,152,1,2271.2,0
Stimulus,12,1,2271.202,0
Stimulus,32,1,2273.658,0
Stimulus,42,1,2273.726,0
Stimulus,102,1,2277.756,0
Stimulus,52,1,2283.172,0
Stimulus,112,1,2288.838,0
Stimulus,22,1,2291.256,0
Stimulus,102,1,2293.77,0
Stimulus,52,1,2299.686,0
Stimulus,152,1,2304.116,0
Stimulus,12,1,2304.118,0
Stimulus,32,1,2306.558,0
Stimulus,42,1,2308.226,0
Stimulus,102,1,2311.338,0
Stimulus,52,1,2317.184,0
Stimulus,102,1,2323.406,0
Stimulus,52,1,2326.698,0
Stimulus,152,1,2330.408,0
Stimulus,12,1,2330.408,0
Stimulus,32,1,2332.058,0
Stimulus,42,1,2332.588,0
Stimulus,102,1,2336.864,0
Stimulus,52,1,2344.976,0
Stimulus,112,1,2350.294,0
Stimulus,22,1,2352.754,0
Stimulus,102,1,2354.408,0
Stimulus,52,1,2358.516,0
Stimulus,152,1,2362.212,0
Stimulus,12,1,2362.214,0
Stimulus,32,1,2454.82,0
Stimulus,42,1,2457.154,0
Stimulus,72,1,2464.112,0
Stimulus,122,1,2470.0,0
Stimulus,2,1,2478.056,0
Stimulus,72,1,2483.306,0
Stimulus,162,1,2486.82,0
Stimulus,12,1,2486.822,0
Stimulus,200,1,2512.778,0
